movie name,duration,genre,ratings,description,Director,votes
Fargo,98 min,"Crime, Drama, Thriller",8.1,Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,Joel Coen,547384
La haine,98 min,"Crime, Drama",8.1,24 hours in the lives of three young men in the French suburbs the day after a violent riot.,Mathieu Kassovitz,128707
Before Sunrise,101 min,"Drama, Romance",8.1,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.",Richard Linklater,230920
In the Name of the Father,133 min,"Biography, Drama",8.1,A man's coerced confession to an IRA bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.,Jim Sheridan,137795
Dead Poets Society,128 min,"Comedy, Drama",8.1,English teacher John Keating inspires his students to look at poetry with a different perspective of authentic knowledge and feelings.,Peter Weir,354200
Tenku no shiro Rapyuta,125 min,"Animation, Adventure, Drama",8.1,A young boy and a girl with a magic crystal must race against pirates and foreign agents in a search for a legendary floating castle.,Hayao Miyazaki,123405
Stand by Me,89 min,"Adventure, Drama",8.1,"After the death of a friend, a writer recounts a boyhood journey to find the body of a missing boy.",Rob Reiner,325875
Platoon,120 min,"Drama, War",8.1,A young soldier in Vietnam faces a moral crisis when confronted with the horrors of war and the duality of man.,Oliver Stone,343847
"Paris, Texas",145 min,Drama,8.1,"Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family.",Wim Wenders,71290
Gandhi,191 min,"Biography, Drama, History",8.1,"Gandhi's character is fully explained as a man of nonviolence. Through his patience, he is able to drive the British out of the subcontinent. And the stubborn nature of Jinnah and his commitment towards Pakistan is portrayed.",Richard Attenborough,203261
Fanny och Alexander,188 min,Drama,8.1,"Two young Swedish children experience the many comedies and tragedies of their family, the Ekdahls.",Ingmar Bergman,50942
Stalker,162 min,"Drama, Sci-Fi",8.1,A guide leads two men through an area known as the Zone to find a room that grants wishes.,Andrei Tarkovsky,94066
The Deer Hunter,183 min,"Drama, War",8.1,An in-depth examination of the ways in which the U.S. Vietnam War impacts and disrupts the lives of people in a small industrial town in Pennsylvania.,Michael Cimino,278138
Rocky,120 min,"Drama, Sport",8.1,A small-time boxer gets a supremely rare chance to fight a heavy-weight champion in a bout in which he strives to go the distance for his self-respect.,John G. Avildsen,459149
Network,121 min,Drama,8.1,A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit.,Sidney Lumet,127807
Barry Lyndon,185 min,"Adventure, Drama, History",8.1,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.,Stanley Kubrick,128411
Paper Moon,102 min,"Comedy, Drama",8.1,"During the Great Depression, a con man finds himself saddled with a young girl who may or may not be his daughter, and the two forge an unlikely partnership.",Peter Bogdanovich,36726
Butch Cassidy and the Sundance Kid,110 min,"Biography, Crime, Drama",8.1,"Wyoming, early 1900s. Butch Cassidy and The Sundance Kid are the leaders of a band of outlaws. After a train robbery goes wrong they find themselves on the run with a posse hard on their heels. Their solution - escape to Bolivia.",George Roy Hill,182880
Cool Hand Luke,126 min,"Crime, Drama",8.1,"A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform.",Stuart Rosenberg,144513
Persona,85 min,"Drama, Thriller",8.1,A nurse is put in charge of a mute actress and finds that their personae are melding together.,Ingmar Bergman,83812
81/2,138 min,Drama,8.1,A harried movie director retreats into his memories and fantasies.,Federico Fellini,97300
Sanjuro,96 min,"Action, Crime, Drama",8.1,"A crafty samurai helps a young man and his fellow clansmen save his uncle, who has been framed and imprisoned by a corrupt superintendent.",Akira Kurosawa,26490
Les quatre cents coups,99 min,"Crime, Drama",8.1,"A young boy, left without attention, delves into a life of petty crime.",Francois Truffaut,89563
Ben-Hur,212 min,"Adventure, Drama, History",8.1,"When a Jewish prince is betrayed and sent into slavery by a Roman friend, he regains his freedom and comes back for revenge.",William Wyler,196725
Le notti di Cabiria,110 min,Drama,8.1,A waifish prostitute wanders the streets of Rome looking for true love but finds only heartbreak.,Federico Fellini,37497
Les diaboliques,117 min,"Crime, Drama, Horror",8.1,The wife and mistress of a loathed school principal hatch a plan to murder him while having the perfect alibi. They carry out the plan...but then his body disappears.,Henri-Georges Clouzot,55025
Le salaire de la peur,131 min,"Adventure, Drama, Thriller",8.1,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.",Henri-Georges Clouzot,46942
The Best Years of Our Lives,170 min,"Drama, Romance, War",8.1,Three World War II veterans return home to small-town America to discover that they and their families have been irreparably changed.,William Wyler,52029
Rebecca,130 min,"Drama, Mystery, Romance",8.1,A self-conscious bride is tormented by the memory of her husband's dead first wife.,Alfred Hitchcock,108290
The Grapes of Wrath,129 min,"Drama, History",8.1,"A poor Midwest family is forced off their land. They travel to California, suffering the misfortunes of the homeless in the Great Depression.",John Ford,79050
Jaws,124 min,"Adventure, Drama, Thriller",8.0,"When a killer shark unleashes chaos on a beach resort, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.",Steven Spielberg,497068
